#T_e[K]	nu_ee_Fourment[1/s]	nu_ee_Kirkwood[1/s]	nu_ei[1/s]	nu_c[1/s]	nu_tot_Fourment[1/s]	nu_tot_Kirkwood[1/s]
4.115611561156115e+02	0.000000000000000e+00	8.152800794507125e+11	4.830917874396136e+14	1.730464576335971e+16	4.830917874396136e+14	4.839070675190642e+14
4.125312531253126e+02	0.000000000000000e+00	8.191280270883474e+11	4.830917874396136e+14	1.730469706523626e+16	4.830917874396136e+14	4.839109154667019e+14
4.135013501350135e+02	0.000000000000000e+00	8.229850341044081e+11	4.830917874396136e+14	1.730474836696072e+16	4.830917874396136e+14	4.839147724737180e+14
4.144714471447145e+02	0.000000000000000e+00	8.268511004988951e+11	4.830917874396136e+14	1.730479966853309e+16	4.830917874396136e+14	4.839186385401124e+14
4.154415441544155e+02	0.000000000000000e+00	8.307262262718083e+11	4.830917874396136e+14	1.730485096995338e+16	4.830917874396136e+14	4.839225136658854e+14
4.164116411641164e+02	0.000000000000000e+00	8.346104114231478e+11	4.830917874396136e+14	1.730490227122157e+16	4.830917874396136e+14	4.839263978510367e+14
4.173817381738174e+02	0.000000000000000e+00	8.385036559529136e+11	4.830917874396136e+14	1.730495357233768e+16	4.830917874396136e+14	4.839302910955665e+14
4.183518351835183e+02	0.000000000000000e+00	8.424059598611056e+11	4.830917874396136e+14	1.730500487330171e+16	4.830917874396136e+14	4.839341933994747e+14
4.193219321932193e+02	0.000000000000000e+00	8.463173231477239e+11	4.830917874396136e+14	1.730505617411366e+16	4.830917874396136e+14	4.839381047627613e+14
4.202920292029203e+02	0.000000000000000e+00	8.502377458127683e+11	4.830917874396136e+14	1.730510747477352e+16	4.830917874396136e+14	4.839420251854263e+14
4.212621262126213e+02	0.000000000000000e+00	8.541672278562393e+11	4.830917874396136e+14	1.730515877528131e+16	4.830917874396136e+14	4.839459546674698e+14
4.222322232223222e+02	0.000000000000000e+00	8.581057692781360e+11	4.830917874396136e+14	1.730521007563702e+16	4.830917874396136e+14	4.839498932088917e+14
4.232023202320232e+02	0.000000000000000e+00	8.620533700784595e+11	4.830917874396136e+14	1.730526137584065e+16	4.830917874396136e+14	4.839538408096920e+14
4.241724172417242e+02	0.000000000000000e+00	8.660100302572090e+11	4.830917874396136e+14	1.730531267589221e+16	4.830917874396136e+14	4.839577974698708e+14
4.251425142514252e+02	0.000000000000000e+00	8.699757498143846e+11	4.830917874396136e+14	1.730536397579169e+16	4.830917874396136e+14	4.839617631894279e+14
4.261126112611261e+02	0.000000000000000e+00	8.739505287499867e+11	4.830917874396136e+14	1.730541527553910e+16	4.830917874396136e+14	4.839657379683636e+14
4.270827082708271e+02	0.000000000000000e+00	8.779343670640149e+11	4.830917874396136e+14	1.730546657513444e+16	4.830917874396136e+14	4.839697218066776e+14
4.280528052805280e+02	0.000000000000000e+00	8.819272647564694e+11	4.830917874396136e+14	1.730551787457771e+16	4.830917874396136e+14	4.839737147043701e+14
4.290229022902290e+02	0.000000000000000e+00	8.859292218273500e+11	4.830917874396136e+14	1.730556917386891e+16	4.830917874396136e+14	4.839777166614409e+14
4.299929992999300e+02	0.000000000000000e+00	8.899402382766572e+11	4.830917874396136e+14	1.730562047300805e+16	4.830917874396136e+14	4.839817276778902e+14
4.309630963096309e+02	0.000000000000000e+00	8.939603141043901e+11	4.830917874396136e+14	1.730567177199511e+16	4.830917874396136e+14	4.839857477537179e+14
4.319331933193320e+02	0.000000000000000e+00	8.979894493105498e+11	4.830917874396136e+14	1.730572307083012e+16	4.830917874396136e+14	4.839897768889241e+14
4.329032903290329e+02	0.000000000000000e+00	9.020276438951354e+11	4.830917874396136e+14	1.730577436951306e+16	4.830917874396136e+14	4.839938150835087e+14
4.338733873387339e+02	0.000000000000000e+00	9.060748978581475e+11	4.830917874396136e+14	1.730582566804393e+16	4.830917874396136e+14	4.839978623374717e+14
4.348434843484349e+02	0.000000000000000e+00	9.101312111995856e+11	4.830917874396136e+14	1.730587696642275e+16	4.830917874396136e+14	4.840019186508131e+14
