#  aims_uuid : 9E77B350-B48A-4CBA-A44E-A8089FE5A8A9                                
#  angular momentum projected density of states for species Cu as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.705409 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -33.06443717        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.05443592        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.04443467        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.03443342        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.02443217        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.01443092        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.00442967        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.99442842        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.98442717        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.97442592        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.96442467        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.95442342        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.94442217        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.93442092        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.92441967        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.91441842        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.90441717        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.89441592        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.88441467        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.87441342        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.86441217        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.85441092        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.84440967        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.83440842        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.82440717        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.81440592        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.80440467        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.79440342        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.78440217        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.77440092        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.76439967        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.75439842        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.74439717        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.73439592        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.72439467        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.71439342        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.70439217        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.69439092        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.68438967        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.67438842        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.66438717        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.65438592        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.64438467        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.63438342        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.62438217        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.61438092        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.60437967        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.59437841        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.58437716        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.57437591        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.56437466        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.55437341        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.54437216        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.53437091        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.52436966        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -32.51436841        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
