#  aims_uuid : F6E78B0D-804B-4AD0-A977-1568297477EF                                
#  angular momentum projected density of states for species Cu as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.705409 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -42.78443993        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.77443893        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.76443793        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.75443693        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.74443593        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.73443493        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.72443393        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.71443293        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.70443193        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.69443093        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.68442993        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.67442893        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.66442793        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.65442693        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.64442592        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.63442492        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.62442392        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.61442292        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.60442192        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.59442092        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.58441992        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.57441892        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.56441792        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.55441692        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.54441592        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.53441492        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.52441392        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.51441292        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.50441192        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.49441092        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.48440992        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.47440892        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.46440792        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.45440692        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.44440592        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.43440492        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.42440392        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.41440292        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.40440192        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.39440092        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.38439992        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.37439892        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.36439792        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.35439692        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.34439592        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.33439492        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.32439392        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.31439292        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.30439192        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.29439092        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.28438992        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.27438892        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.26438792        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.25438692        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.24438592        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.23438492        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.22438392        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.21438292        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.20438192        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.19438092        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.18437992        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.17437892        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.16437792        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.15437692        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.14437592        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.13437492        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.12437392        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.11437292        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.10437192        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.09437092        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.08436992        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.07436892        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.06436792        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.05436692        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.04436592        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.03436492        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.02436392        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.01436292        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.00436192        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.99436092        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.98435992        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.97435892        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.96435792        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.95435692        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.94435592        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.93435492        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.92435392        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.91435292        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.90435192        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.89435092        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.88434992        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.87434892        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.86434792        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.85434692        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.84434592        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.83434492        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.82434392        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.81434292        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.80434192        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.79434092        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.78433992        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.77433892        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.76433792        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.75433692        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.74433592        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.73433492        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.72433392        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.71433292        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.70433192        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.69433092        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.68432992        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.67432892        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.66432792        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.65432692        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.64432591        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.63432491        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.62432391        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.61432291        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.60432191        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.59432091        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.58431991        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -41.57431891        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
